id,cnn_score,energy
2759472.000,0.032,2103.406
2418990.000,0.166,1421.300
2486577.000,0.209,1759.904
2608493.000,0.001,1511.024
2661318.000,0.003,2057.472
2676445.000,0.043,1888.039
2492258.000,0.094,2334.806
2784312.000,0.000,2437.043
2417493.000,0.063,2160.927
2779911.000,0.040,2985.339
2721765.000,0.215,1652.739
2558049.000,0.001,2203.048
2660799.000,0.000,1407.124
2638243.000,0.098,2615.846
2529884.000,0.758,2197.099
2501971.000,0.052,2552.366
2568591.000,0.382,1525.549
2783957.000,0.760,1658.379
2529909.000,0.000,1850.237
2452888.000,0.151,1884.531
2652581.000,0.095,1518.805
2593385.000,0.471,1593.188
2679357.000,0.805,1621.771
2422563.000,0.048,2342.294
2460171.000,0.038,1373.864
2410631.000,0.420,1965.721
2755128.000,0.249,1324.609
2696907.000,0.064,2615.332
2687947.000,0.054,1460.856
2663289.000,0.013,2366.630
2602289.000,0.084,2613.154
2466727.000,0.131,1501.013
2425264.000,0.034,2612.581
2560328.000,0.594,1955.680
2753814.000,0.084,1094.654
2557813.000,0.465,2316.217
2728751.000,0.004,2386.455
2397303.000,0.257,2424.225
2458945.000,0.010,1427.123
2519647.000,0.332,1552.929
2624704.000,0.091,1236.340
2764160.000,0.027,2613.428
2688859.000,0.072,2412.848
2627342.000,0.061,1233.972
2779244.000,0.097,2614.037
2442828.000,0.001,2699.561
2681797.000,0.423,1063.862
2677189.000,0.669,2115.149
2410179.000,0.015,2237.028
2732199.000,0.256,2148.131
2660280.000,0.052,1870.660
2405602.000,0.030,2037.063
2723346.000,0.347,1710.911
2569107.000,0.509,1673.955
2658280.000,0.514,1964.039
2618383.000,0.304,2135.790
2711485.000,0.095,2614.494
2539234.000,0.103,2297.405
2452206.000,0.861,1593.127
2462112.000,0.013,1559.466
2740642.000,0.206,2409.522
2518516.000,0.015,1253.314
2690445.000,0.125,1498.290
2694962.000,0.678,1497.148
2453878.000,0.005,2454.501
2747839.000,0.004,1892.116
2693362.000,0.320,2418.809
2408684.000,0.628,2344.806
2446295.000,0.059,1081.231
2662837.000,0.001,1117.404
